tblUploadID,Country,Reporting_organisation,CruiseID
8247,"LV","3140","LV314090MZ1969"
8248,"LV","3140","LV3140LA991969"
8249,"LV","3140","LV3140LABS1969"
8250,"LV","3140","LV314090MZ1970"
8251,"LV","3140","LV3140LA991970"
8252,"LV","3140","LV3140LABS1970"
8253,"LV","3140","LV314090MZ1971"
8254,"LV","3140","LV314090MZ1972"
8255,"LV","3140","LV3140LA991972"
8256,"LV","3140","LV314090MZ1973"
8257,"LV","3140","LV3140LA991973"
8258,"LV","3140","LV314090MZ1974"
8259,"LV","3140","LV3140LA991974"
8260,"LV","3140","LV314090MZ1975"
8261,"LV","3140","LV3140LA991975"
8262,"LV","3140","LV314090MZ1976"
8263,"LV","3140","LV3140LABS1976"
8264,"LV","3140","LV3140LA991977"
8265,"LV","3140","LV3140LABZ1977"
8266,"LV","3140","LV314090MZ1978"
8267,"LV","3140","LV3140LABZ1978"
8268,"LV","3140","LV3140LABZ1979"
8269,"LV","3140","LV3140LA991980"
8270,"LV","3140","LV3140LA991981"
8271,"LV","3140","LV3140LABS1981"
8272,"LV","3140","LV3140LABZ1981"
8273,"LV","3140","LV3140LA991982"
8274,"LV","3140","LV3140LABZ1982"
8275,"LV","3140","LV3140LA991983"
8276,"LV","3140","LV3140LABZ1983"
8277,"LV","3140","LV3140LA991984"
8278,"LV","3140","LV3140LABZ1984"
8279,"LV","3140","LV3140LABZ1989"
8305,"LV","3140","LV314090MZ1964"
8306,"LV","3140","LV314090MZ1963"
8307,"LV","3140","LV314090MZ1965"
8308,"LV","3140","LV3140LAIZ1993"
8309,"LV","3140","LV314090MF1994"
8310,"LV","3140","LV314090MF1995"
8311,"LV","3140","LV314090MF1996"
8312,"LV","3140","LV3140LA991997"
8313,"LV","3140","LV3140LA991998"
8314,"LV","3140","LV314067BC2014"
8315,"LV","3140","LV314067BC2013"
8316,"LV","3140","LV3140LTDA2012"
8317,"LV","3140","LV314067BC2012"
8318,"LV","3140","LV314067BC2009"
8319,"LV","3140","LV314067BC2008"
8320,"LV","3140","LV314067BC2007"
8321,"LV","3140","LV314067BC2006"
8322,"LV","3140","LV3140LA992005"
8323,"LV","3140","LV3140LA992004"
8324,"LV","3140","LV3140LA992003"
8325,"LV","3140","LV3140LA992002"
8326,"LV","3140","LV3140LA992001"
8327,"LV","3140","LV3140LA992000"
8328,"LV","3140","LV3140LA991999"
8329,"DK","2195","DK219526D42018"
8330,"DK","2195","DK219526D42021"
8337,"SE","4484","SE448477SE2021"
8344,"PL","194","PL19467BC2021"
8460,"DE","1574","SOLEA 785"
8461,"DE","1574","SOLEA 789"
8462,"DE","1574","SOLEA 783"
8463,"DE","1574","SOLEA 784"
8464,"DE","1574","WH III 441"
8465,"LV","3140","LV3140LA991966"
8467,"LV","3140","LV314090MZ1967"
8468,"LV","3140","LV3140LABS1967"
8469,"LV","3140","LV314090MZ1968"
8470,"LV","3140","LV3140LA991968"
